Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse,Expected_Taxonomic_Cost
0.0,17,1,1,1,0,0.28
0.1,17,1,1,1,0,0.34
0.2,17,1,1,1,0,0.34
0.3,17,1,1,1,0,0.37
0.4,17,1,1,1,0,0.4
0.5,16,2,1,1,0,0.37
0.6,15,2,1,2,0,0.34
0.7,15,2,0,2,1,0.46
0.8,15,2,0,1,2,0.94
0.9,6,3,2,3,6,2.34
