Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,175,5,14,1,4
0.1,175,4,14,2,4
0.2,173,5,14,2,5
0.3,169,4,19,2,5
0.4,173,4,16,2,4
0.5,172,3,16,3,5
0.6,170,3,18,3,5
0.7,166,4,18,4,7
0.8,159,6,23,3,8
0.9,122,5,49,8,15
