Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,175,5,14,1,4
0.1,174,4,15,2,4
0.2,176,3,15,2,3
0.3,172,3,14,4,6
0.4,174,4,15,3,3
0.5,173,7,13,3,3
0.6,156,8,26,4,5
0.7,117,7,50,9,16
0.8,10,6,102,20,61
0.9,1,4,113,22,59
