Pruning_Level,i2t_top1,top1_specific_acc,mrr,cka_vision,cka_text,npr_vision,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,0.8766520023345947,0.8766520023345947,0.926076847772883,1.0,1.0,1.0,199,0,15,2,11
0.25,0.6960352659225464,0.6960352659225464,0.7871629471849737,0.6098371148109436,0.9941394925117493,0.252863436123348,158,0,34,15,20
0.5,0.15418502688407898,0.15418502688407898,0.31233566971452437,0.2898283004760742,0.8473779559135437,0.10484581497797357,35,0,78,14,100
0.75,0.09251101315021515,0.09251101315021515,0.2542766460167341,0.15932339429855347,0.793881893157959,0.08898678414096917,21,0,73,8,125
0.9,0.08810572326183319,0.08810572326183319,0.2485675117833708,0.12125234305858612,0.6560361385345459,0.07488986784140969,20,0,87,32,88
0.95,0.07488986849784851,0.07488986849784851,0.24123920621717979,0.12765240669250488,0.5160148739814758,0.07665198237885462,17,0,66,4,140
