Pruning_Level,i2t_top1,top1_specific_acc,mrr,cka_vision,cka_text,npr_vision,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,0.8892307877540588,0.8892307877540588,0.9324822954822954,1.0,1.0,1.0,289,0,18,4,14
0.25,0.6861538290977478,0.6861538290977478,0.7839118232195155,0.6125489473342896,0.9941394925117493,0.2363076923076923,223,0,51,20,31
0.5,0.16615384817123413,0.16615384817123413,0.32056525525756296,0.27414029836654663,0.8473779559135437,0.08923076923076922,54,0,111,20,140
0.75,0.07999999821186066,0.07999999821186066,0.24244159259543874,0.14191469550132751,0.793881893157959,0.06215384615384616,26,0,109,17,173
0.9,0.07692307978868484,0.07692307978868484,0.23834506519121904,0.1102263480424881,0.6560361385345459,0.06215384615384616,25,0,125,50,125
0.95,0.07692307978868484,0.07692307978868484,0.23668106252721635,0.1217053011059761,0.5160148739814758,0.05723076923076923,25,0,96,5,199
