pruning_level,i2t_top1,i2t_top5,t2i_top1,mean_cosine
0.0,0.77,0.91,0.85,0.25512797
0.1,0.758,0.92,0.85,0.068086945
0.2,0.74,0.894,0.85,0.04945014
0.30000000000000004,0.684,0.894,0.9,0.040026046
0.4,0.602,0.84,0.9,0.025333364
0.5,0.51,0.816,0.75,0.01428705
0.6000000000000001,0.43,0.732,0.7,0.0079873875
0.7000000000000001,0.282,0.612,0.4,0.0026494719
0.8,0.094,0.352,0.1,0.00059619616
0.9,0.05,0.25,0.05,0.0
