Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,175,5,14,1,4
0.1,173,4,16,2,4
0.2,176,4,14,1,4
0.3,169,5,16,4,5
0.4,164,4,24,3,4
0.5,165,7,16,5,6
0.6,120,6,52,9,12
0.7,4,2,93,19,81
0.8,1,0,117,22,59
0.9,0,0,118,22,59
