Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,175,5,14,1,4
0.1,167,5,17,2,8
0.2,169,5,16,4,5
0.3,166,6,17,4,6
0.4,164,5,16,5,9
0.5,141,5,32,7,14
0.6,128,5,35,13,18
0.7,109,6,42,20,22
0.8,65,5,54,22,53
0.9,15,0,85,17,82
