Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,175,5,14,1,4
0.1,176,3,13,1,6
0.2,176,4,13,0,6
0.3,176,3,14,3,3
0.4,174,2,18,2,3
0.5,177,3,13,2,4
0.6,165,5,17,3,9
0.7,136,6,40,4,13
0.8,112,7,51,6,23
0.9,56,10,76,15,42
