pruning_level,i2t_top1,i2t_top5,t2i_top1,mean_cosine,mrr,cka_vision,cka_text,npr_vision,top1_specific_acc,top1_basic_acc,top1_domain_acc,pct_superordinate_errors,pct_domain_collapse_errors,top10_basic_ratio,top10_domain_ratio,acc_Living,acc_Non-Living
0.0,0.74,0.88,0.9411764705882353,0.24854940176010132,0.811698717948718,1.0,1.0,1.0,0.74,0.8,0.92,0.6923076923076923,0.3076923076923077,0.268,0.5619999999999999,0.84,0.64
0.25,0.68,0.86,0.8235294117647058,0.03946131095290184,0.7691178266178267,0.9948865175247192,0.9943561553955078,0.9119999999999999,0.68,0.8,0.84,0.5,0.5,0.234,0.544,0.8,0.56
0.5,0.46,0.84,0.6470588235294118,0.011335497722029686,0.6159062049062048,0.9827432036399841,0.986840009689331,0.8720000000000001,0.46,0.64,0.84,0.7037037037037037,0.2962962962962963,0.24000000000000005,0.554,0.52,0.4
0.75,0.16,0.64,0.23529411764705882,0.002457214752212167,0.35339372555549026,0.951939582824707,0.9693055152893066,0.776,0.16,0.24,0.52,0.42857142857142855,0.5714285714285714,0.21600000000000003,0.5399999999999999,0.24,0.08
0.9,0.04,0.28,0.058823529411764705,0.0,0.20528570285923226,0.9116041660308838,0.8892238736152649,0.6799999999999999,0.04,0.26,0.5,0.4791666666666667,0.5208333333333334,0.21200000000000002,0.5,0.0,0.08
0.95,0.04,0.28,0.058823529411764705,0.0,0.20528570285923226,0.841753363609314,0.7900615334510803,0.596,0.04,0.26,0.5,0.4791666666666667,0.5208333333333334,0.21200000000000002,0.5,0.0,0.08
