Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,157,9,24,3,6
0.1,160,7,23,3,6
0.2,161,3,26,4,5
0.3,145,9,36,3,6
0.4,109,11,56,9,14
0.5,67,11,84,10,27
0.6,10,3,112,9,65
0.7,2,2,102,29,64
0.8,2,0,103,21,73
0.9,1,0,79,29,90
