Pruning_Level,i2t_top1,top1_specific_acc,mrr,cka_vision,cka_text,npr_vision,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,0.8333333134651184,0.8333333134651184,0.8971491228070176,1.0,1.0,1.0,95,0,7,2,10
0.25,0.6666666865348816,0.6666666865348816,0.7689600604074289,0.6363595724105835,0.9941394925117493,0.2807017543859649,76,0,17,9,12
0.5,0.14035087823867798,0.14035087823867798,0.2884393871235977,0.33445999026298523,0.8473779559135437,0.11578947368421053,16,0,37,7,54
0.75,0.07894736528396606,0.07894736528396606,0.2400186071238703,0.18295852839946747,0.793881893157959,0.07719298245614035,9,0,33,4,68
0.9,0.08771929889917374,0.08771929889917374,0.24267141240825452,0.14107200503349304,0.6560361385345459,0.08421052631578947,10,0,45,16,43
0.95,0.07017543911933899,0.07017543911933899,0.23209794591373542,0.14307130873203278,0.5160148739814758,0.08947368421052632,8,0,31,2,73
