Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse
0.0,175,5,14,1,4
0.1,175,5,14,1,4
0.2,173,5,15,2,4
0.3,174,5,15,1,4
0.4,174,4,14,1,6
0.5,175,3,13,2,6
0.6,177,3,12,1,6
0.7,160,6,20,5,8
0.8,135,6,40,8,10
0.9,96,9,60,11,23
