Pruning_Level,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse,Expected_Taxonomic_Cost
0.0,17,1,1,1,0,0.28
0.1,17,1,2,0,0,0.25
0.2,17,1,2,0,0,0.26
0.3,17,1,2,0,0,0.27
0.4,18,1,0,1,0,0.33
0.5,18,1,1,0,0,0.31
0.6,17,1,2,0,0,0.32
0.7,17,1,2,0,0,0.31
0.8,15,1,3,1,0,0.43
0.9,12,4,1,1,2,1.06
